                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.65368,                0.33775,                0.81505,                0.97786,                0.70948,                0.80462,                0.65073,                0.60033,                0.34511,                0.80338,                0.00769,                0.00769,                0.00769
                    122,                0.64695,                0.33725,                0.80724,                0.95351,                0.70948,                0.82575,                0.66131,                0.56075,                0.33055,                0.80416,               0.007657,               0.007657,               0.007657
                    123,                 0.6557,                0.33782,                0.81669,                0.94876,                0.71129,                0.82945,                0.66734,                0.57748,                0.33582,                0.81153,               0.007624,               0.007624,               0.007624
                    124,                0.65111,                0.34015,                0.81428,                0.94507,                0.72286,                0.82275,                0.66564,                0.56126,                 0.3212,                0.80456,               0.007591,               0.007591,               0.007591
                    125,                0.64427,                0.33581,                0.81209,                0.95665,                0.71528,                0.82627,                0.66747,                0.55372,                0.35054,                0.80868,               0.007558,               0.007558,               0.007558
                    126,                0.64522,                0.33526,                0.80969,                0.96676,                0.69835,                  0.834,                 0.6756,                0.57144,                0.33408,                0.80665,               0.007525,               0.007525,               0.007525
                    127,                0.66309,                0.34076,                0.81785,                 0.9577,                0.70664,                0.80401,                0.63859,                0.57442,                0.34029,                0.80724,               0.007492,               0.007492,               0.007492
                    128,                0.64972,                0.34184,                0.82114,                0.95775,                0.70762,                0.83728,                0.68422,                0.59077,                0.32543,                0.80697,               0.007459,               0.007459,               0.007459
                    129,                0.63657,                0.33464,                   0.82,                0.94192,                0.72029,                0.81968,                0.65699,                0.55542,                  0.346,                0.80651,               0.007426,               0.007426,               0.007426
                    130,                0.60935,                0.31935,                0.80736,                0.96962,                0.70468,                0.81024,                0.66114,                0.54884,                0.30898,                0.80436,               0.007393,               0.007393,               0.007393
                    131,                0.66396,                0.34379,                0.81561,                0.95448,                0.71188,                0.83527,                0.66988,                0.58214,                0.33711,                0.81382,                   0.01,                   0.01,                   0.01
                    132,                0.65808,                0.34084,                0.81638,                0.94816,                0.69748,                0.81383,                0.66193,                0.55111,                0.38342,                0.81317,               0.009967,               0.009967,               0.009967
                    133,                0.66654,                0.34788,                 0.8207,                0.93427,                0.71909,                0.81045,                 0.6521,                0.56355,                0.35124,                0.81341,               0.009934,               0.009934,               0.009934
                    134,                0.66441,                0.34749,                0.82011,                0.94783,                0.71429,                0.81676,                0.65771,                0.57746,                0.34464,                0.81063,               0.009901,               0.009901,               0.009901
                    135,                0.66439,                0.35093,                 0.8131,                0.95487,                0.71121,                0.82417,                0.65682,                0.55416,                0.33246,                0.81113,               0.009868,               0.009868,               0.009868
                    136,                0.66174,                0.34787,                0.81111,                0.96548,                0.71309,                0.83101,                 0.6741,                 0.5715,                0.33874,                0.81071,               0.009835,               0.009835,               0.009835
                    137,                0.67916,                0.35164,                0.81578,                0.95502,                0.71366,                0.84107,                0.67288,                0.56696,                0.32793,                0.80944,               0.009802,               0.009802,               0.009802
                    138,                0.66776,                0.35007,                0.81968,                0.94584,                0.71286,                0.81425,                0.63902,                0.57453,                0.35118,                0.81119,               0.009769,               0.009769,               0.009769
                    139,                0.66441,                0.34285,                0.81446,                0.97626,                0.69628,                0.82953,                0.66581,                0.58499,                0.33134,                0.81233,               0.009736,               0.009736,               0.009736
                    140,                0.68594,                0.34755,                0.80898,                0.96415,                0.71909,                0.83313,                0.67012,                0.59568,                0.33413,                0.80972,               0.009703,               0.009703,               0.009703
                    141,                0.66082,                0.34353,                0.81157,                0.93942,                0.71429,                0.81717,                0.66745,                0.58747,                0.33597,                0.80932,                0.00967,                0.00967,                0.00967
                    142,                 0.6673,                0.34349,                0.81354,                0.95198,                0.71309,                0.81933,                0.66976,                0.58103,                0.34762,                0.80731,               0.009637,               0.009637,               0.009637
