                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0043,                 0.4771,                0.88216,                0.95372,                 0.9406,                0.97866,                 0.6587,                0.97391,                0.43766,                0.88071,               0.008284,               0.008284,               0.008284
                     54,                 1.0071,                 0.4758,                0.88649,                0.95737,                0.95362,                0.98135,                 0.6506,                0.99705,                 0.4501,                0.88469,               0.008251,               0.008251,               0.008251
                     55,                 1.0148,                0.46775,                0.88763,                0.95102,                0.95037,                0.98031,                0.65544,                0.97096,                0.43152,                0.87765,               0.008218,               0.008218,               0.008218
                     56,                 1.0231,                0.47692,                0.88326,                0.95099,                0.93735,                 0.9758,                0.65369,                 0.9618,                0.42452,                0.88246,               0.008185,               0.008185,               0.008185
                     57,                 1.0151,                0.47687,                0.89492,                0.95022,                0.95037,                0.98123,                0.65433,                0.96419,                0.43948,                0.88004,               0.008152,               0.008152,               0.008152
                     58,                 1.0241,                0.47983,                0.89091,                0.95323,                0.96194,                0.98139,                0.66442,                0.95579,                0.42564,                0.87952,               0.008119,               0.008119,               0.008119
                     59,                 1.0205,                0.47073,                0.89514,                0.93554,                0.95648,                0.97659,                 0.6515,                0.98696,                0.43892,                0.88195,               0.008086,               0.008086,               0.008086
                     60,                 1.0038,                0.46501,                0.88733,                0.95551,                0.96338,                0.98412,                0.67121,                0.96967,                0.43092,                0.88049,               0.008053,               0.008053,               0.008053
                     61,                0.99615,                0.46094,                0.87611,                0.95836,                0.95932,                0.98506,                0.66305,                0.96897,                0.42095,                0.88308,                0.00802,                0.00802,                0.00802
                     62,                 1.0071,                0.46211,                0.88075,                0.96446,                0.94944,                0.98214,                0.66208,                0.98476,                0.42802,                0.88542,               0.007987,               0.007987,               0.007987
                     63,                 1.0019,                0.46061,                0.88122,                0.96041,                0.94735,                0.97866,                0.66923,                0.96418,                0.42554,                0.88015,               0.007954,               0.007954,               0.007954
                     64,                 1.0133,                0.46604,                0.88302,                0.94535,                0.95932,                0.98092,                0.66871,                 0.9699,                0.41768,                 0.8828,               0.007921,               0.007921,               0.007921
                     65,                  1.002,                0.45997,                0.89001,                0.94772,                0.96013,                0.98038,                0.67121,                0.95275,                0.42882,                0.87826,               0.007888,               0.007888,               0.007888
                     66,                 0.9936,                0.46606,                0.88778,                0.95525,                0.95037,                0.98614,                0.67667,                0.94645,                  0.419,                0.87375,               0.007855,               0.007855,               0.007855
                     67,                 1.0007,                0.45875,                0.88408,                0.95446,                0.95688,                0.98282,                0.67943,                0.96157,                0.41809,                0.87616,               0.007822,               0.007822,               0.007822
                     68,                0.99348,                0.46185,                0.87856,                0.95443,                0.95525,                0.98127,                0.66991,                0.94919,                0.42336,                 0.8756,               0.007789,               0.007789,               0.007789
                     69,                 1.0081,                0.46152,                0.88443,                0.95457,                 0.9575,                0.98326,                0.67167,                0.96485,                0.42042,                0.87726,               0.007756,               0.007756,               0.007756
                     70,                 1.0141,                0.45884,                0.88297,                0.95255,                0.95769,                0.97815,                0.66798,                0.95468,                0.42251,                0.87614,               0.007723,               0.007723,               0.007723
                     71,                0.97881,                0.46435,                0.88141,                0.94842,                0.95443,                0.98114,                0.66737,                0.94683,                0.41701,                0.88032,                0.00769,                0.00769,                0.00769
                     72,                0.99576,                0.45716,                0.88106,                0.95403,                0.96176,                0.98359,                0.66912,                0.96053,                0.41584,                0.88154,               0.007657,               0.007657,               0.007657
                     73,                0.98425,                0.44871,                  0.877,                0.95912,                0.95362,                0.98188,                0.66805,                0.94814,                0.41735,                0.87516,               0.007624,               0.007624,               0.007624
                     74,                0.98785,                0.45961,                0.88159,                0.94377,                0.95118,                0.97892,                 0.6659,                0.93724,                0.42124,                0.87418,               0.007591,               0.007591,               0.007591
                     75,                0.99387,                0.45549,                0.87456,                0.94789,                0.96745,                0.98214,                0.67851,                0.94509,                0.41488,                0.87809,               0.007558,               0.007558,               0.007558
                     76,                0.97329,                0.44574,                 0.8801,                0.94923,                 0.9584,                0.97952,                0.66149,                0.96044,                0.42978,                0.87686,               0.007525,               0.007525,               0.007525
