                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.79525,                0.42041,                 0.8299,                0.94917,                0.68335,                0.78759,                0.61279,                0.63195,                0.41937,                0.82119,               0.008053,               0.008053,               0.008053
                     61,                0.79761,                 0.4301,                0.84004,                0.91326,                0.69838,                0.76684,                0.59053,                0.62581,                 0.4021,                0.82402,                0.00802,                0.00802,                0.00802
                     62,                0.77982,                0.41318,                0.83185,                0.92578,                0.70246,                0.78955,                 0.6056,                0.63758,                0.41793,                0.82072,               0.007987,               0.007987,               0.007987
                     63,                0.78459,                0.42276,                0.83223,                0.91289,                0.70828,                0.77497,                0.59464,                0.61808,                0.41671,                 0.8171,               0.007954,               0.007954,               0.007954
                     64,                0.79307,                0.43214,                0.83974,                0.94581,                0.69837,                0.77825,                0.58497,                0.64748,                0.42274,                0.82038,               0.007921,               0.007921,               0.007921
                     65,                0.76383,                0.41225,                 0.8366,                0.93797,                0.70025,                  0.777,                0.60476,                0.61042,                0.41169,                0.81225,               0.007888,               0.007888,               0.007888
                     66,                0.76966,                0.42591,                0.83502,                0.91249,                0.70088,                0.76382,                0.58898,                0.63713,                0.39636,                0.83322,               0.007855,               0.007855,               0.007855
                     67,                0.79414,                0.42095,                0.82575,                0.93298,                0.70588,                 0.8128,                0.63002,                0.63321,                0.42315,                0.82196,               0.007822,               0.007822,               0.007822
                     68,                0.78332,                0.42226,                0.83775,                0.92095,                 0.7145,                0.75861,                0.58445,                0.62625,                  0.419,                0.82558,               0.007789,               0.007789,               0.007789
                     69,                0.76633,                0.41617,                0.82847,                0.91604,                0.71214,                0.79734,                0.62103,                0.61984,                0.42234,                0.82092,               0.007756,               0.007756,               0.007756
                     70,                0.77761,                0.42378,                0.83034,                0.90885,                0.71129,                0.78203,                0.61341,                0.61614,                0.39465,                 0.8282,               0.007723,               0.007723,               0.007723
                     71,                0.78432,                 0.4176,                0.83983,                0.93032,                0.70181,                0.77865,                0.59969,                0.62516,                0.41373,                0.82977,                0.00769,                0.00769,                0.00769
                     72,                0.75759,                0.39684,                0.82779,                0.93432,                0.70964,                0.79619,                0.62728,                0.59421,                0.37571,                0.82399,               0.007657,               0.007657,               0.007657
                     73,                0.76022,                0.40099,                0.83695,                0.92715,                0.70087,                0.77222,                0.59294,                0.62605,                0.40134,                0.82739,               0.007624,               0.007624,               0.007624
                     74,                0.76783,                0.40981,                0.83363,                0.94066,                0.70964,                0.77904,                  0.608,                0.62044,                0.39825,                0.82642,               0.007591,               0.007591,               0.007591
